File Creation Date,2025-10-14
Sampling Location,

3m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/07,,0.69,,0.65
2024/02/19,,0.92,,0.78
2024/01/23,,0.84,,0.84
2023/12/06,,0.79,,0.8
2023/11/21,,0.96,,0.86
2023/10/04,,1.1,,0.79
2023/09/12,,1.3,,1
2023/08/23,,0.98,,0.69
2023/07/19,,1.1,,0.63
2023/06/06,,1.1,,1.1
2023/05/11,,1,,1
2023/04/11,,1,,1
2023/03/08,,1,,1
2023/02/22,,1,,1
2023/01/18,,1,,1
2022/12/14,,1,,1
2022/11/09,,1,,1
2022/10/20,,1,,1
2022/09/15,,1,,1
2022/08/09,,1,,1
2022/07/05,,1,,1
2022/06/09,,1,,1
2022/05/19,,1,,1
2022/04/14,,1,,1
2022/03/02,,1,,1
2022/02/02,,1,,1
2022/01/05,,1,,1
2021/12/02,,1,,1
2021/11/10,,1,,1
2021/10/06,,1,,1
2021/09/01,,1,,1
2021/08/11,,1,,1
2021/07/07,,1,,1
2021/06/02,,1,,1
2021/05/12,,1,,1
2021/04/02,,1,,1
