File Creation Date,2026-01-20
Sampling Location,

Surface layer,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/01/15,,0.92,,0.84,,0.38
2024/11/20,,0.85,,0.56,,0.41
2024/09/05,,0.7,,0.56,,0.36
2024/07/08,,0.98,,0.8,,0.4
2024/05/16,,0.97,,0.68,,0.37
2024/03/11,,0.64,,0.71,0.85,
2024/02/02,,0.9,,0.79,,0.33
2024/01/09,,0.8,,0.85,,0.34
2023/12/04,,1.2,,0.79,,0.34
2023/11/13,,0.81,,0.94,,0.35
2023/10/13,,1.1,,1.1,,0.35
2023/09/21,,0.84,,0.8,,0.34
2023/08/04,,0.81,,0.82,,0.35
2023/07/07,,1.1,,0.94,,0.34
2023/06/01,,0.99,,0.69,,0.33
2023/05/19,,1,,1,,0.4
2023/04/18,,1,,1,,0.4
2023/03/16,,1,,1,,0.4
2023/02/06,,1,,1,,0.4
2023/01/06,,1,,1,,0.4
2022/12/07,,1,,1,,0.4
2022/11/10,,1,,1,,0.4
2022/10/11,,1,,1,,0.4
2022/09/15,,1,,1,,0.4
2022/08/16,,1,,1,,0.4
2022/07/11,,1,,1,,0.4
2022/06/02,,1,,1,,0.4
2022/05/12,,1,,1,,0.4
2022/04/19,,1,,1,,0.4
2022/03/08,,1,,1,,0.4
2022/02/03,,1,,1,,0.4
2022/01/11,,1,,1,,0.4
2021/12/14,,1,,1,,0.4
2021/11/01,,1,,1,,0.4
2021/10/04,,1,,1,,0.4
2021/09/10,,1,,1,,0.4
2021/08/16,,1,,1,,0.4
2021/07/05,,1,,1,,0.4
2021/06/10,,1,,1,,0.4
2021/05/11,,1,,1,,0.4
2021/04/20,,1,,1,0.38,
